book_name,author,publish_date
The Silent Sea,James Rivers,01-03-2015
Shadow's Edge,Maria Albright,22-08-2020
The Last Ember,John Blackwood,11-11-2018
A Whisper in the Dark,Eliza Rose,30-04-2017
Eternal Skies,Samuel Gray,12-06-2019
The Fallen Star,Diana Moon,25-12-2016
Beneath the Surface,Benjamin Carter,09-02-2021
Dawn's Light,Sophia Blake,03-05-2014
The Midnight Hunt,Mark Turner,18-09-2020
Crimson Tide,Lily Stark,14-10-2018
The Cursed Key,Ethan Hawke,27-07-2022
Rise of the Phoenix,Emily Rhodes,19-01-2020
Secrets in the Ashes,Christopher Wells,06-08-2019
The Ghost of Winter,Olivia Knight,17-03-2015
The Wanderer,Alexander Storm,01-01-2022
Echoes of Tomorrow,Rachel Green,29-04-2016
The Forgotten Realm,Michael Hudson,20-10-2021
A Dance with Fate,Grace Snow,10-11-2020
Wings of the Storm,David Steele,23-07-2017
The Witching Hour,Hannah Brown,09-12-2020
Veil of Night,Lucas Cole,30-05-2018
The Reaper's Mark,Isabel Clarke,08-03-2014
Stormbreaker,Nathan Walker,15-02-2016
The Silent Storm,Paula Greene,02-01-2019
Shattered Dreams,Daniel Rivers,04-08-2022
The Mirror's Reflection,Victoria Hayes,21-05-2021
Through the Looking Glass,Matthew Fox,16-07-2020
Shadows of the Past,Sarah West,13-03-2017
The Labyrinth's Heart,Gregory Stone,26-04-2021
A Path to the Unknown,Leah Adams,19-02-2020
Beyond the Horizon,Aiden Brooks,25-10-2018
Blood and Ice,Claire Hunt,14-06-2021
The Moonlit Kingdom,Jasper Knight,22-01-2015
The Chosen One,Rebecca Hill,30-09-2020
Whispers in the Wind,Zachary Pierce,17-11-2021
The Last Guardian,Madeline Grey,05-10-2018
The Hidden Fortress,Ryan Frost,08-12-2021
The Outcast's Journey,Lara Evans,11-09-2019
Tales of the Lost,Evan Hayes,02-04-2020
The Iron Heart,Catherine Brooks,19-07-2016
Into the Abyss,Isaiah Smith,09-11-2017
Echoes of the Fallen,Natalie King,27-03-2021
The Crimson Sword,Ryan Clark,17-01-2022
Darkened Skies,Alice West,23-08-2017
The Serpent's Crown,Andrew Douglas,05-02-2020
The King's Betrayal,Carmen Roberts,20-11-2016
Silent Shadows,Liam Shaw,13-06-2021
Tears of the Phoenix,Sophia Ward,29-09-2018
Fury of the Wild,James Rivers,02-05-2015
